Iterations,a,c,b,F-Error
1,1.75,2.125,2.5,0.04720568284392357
2,2.125,2.3125,2.5,0.14029431715607643
3,2.125,2.21875,2.3125,0.04654431715607643
4,2.125,2.171875,2.21875,0.0003306828439235687
5,2.171875,2.1953125,2.21875,0.02310681715607643
6,2.171875,2.18359375,2.1953125,0.011388067156076431
7,2.171875,2.177734375,2.18359375,0.005528692156076431
8,2.171875,2.1748046875,2.177734375,0.0025990046560764313
9,2.171875,2.17333984375,2.1748046875,0.0011341609060764313
10,2.171875,2.172607421875,2.17333984375,0.0004017390310764313
11,2.171875,2.1722412109375,2.172607421875,3.5528093576431274e-05
12,2.171875,2.17205810546875,2.1722412109375,0.00014757737517356873
13,2.17205810546875,2.172149658203125,2.1722412109375,5.6024640798568726e-05
14,2.172149658203125,2.1721954345703125,2.1722412109375,1.0248273611068726e-05
15,2.1721954345703125,2.1722183227539062,2.1722412109375,1.2639909982681274e-05
16,2.1721954345703125,2.1722068786621094,2.1722183227539062,1.1958181858062744e-06
17,2.1721954345703125,2.172201156616211,2.1722068786621094,4.526227712631226e-06
18,2.172201156616211,2.17220401763916,2.1722068786621094,1.6652047634124756e-06
19,2.17220401763916,2.1722054481506348,2.1722068786621094,2.3469328880310059e-07
20,2.1722054481506348,2.172206163406372,2.1722068786621094,4.805624485015869e-07
21,2.1722054481506348,2.1722058057785034,2.172206163406372,1.2293457984924316e-07
22,2.1722054481506348,2.172205626964569,2.1722058057785034,5.587935447692871e-08
23,2.172205626964569,2.1722057163715363,2.1722058057785034,3.3527612686157227e-08
24,2.172205626964569,2.1722056716680527,2.1722057163715363,1.1175870895385742e-08
25,2.1722056716680527,2.1722056940197945,2.1722057163715363,1.1175870895385742e-08
26,2.1722056716680527,2.1722056828439236,2.1722056940197945,0.0
