Iterations,a,c,b,F-Error
1,-1.0,-0.5625,-0.125,0.03368735313415527
2,-0.5625,-0.34375,-0.125,0.18506264686584473
3,-0.5625,-0.453125,-0.34375,0.07568764686584473
4,-0.5625,-0.5078125,-0.453125,0.021000146865844727
5,-0.5625,-0.53515625,-0.5078125,0.0063436031341552734
6,-0.53515625,-0.521484375,-0.5078125,0.0073282718658447266
7,-0.53515625,-0.5283203125,-0.521484375,0.0004923343658447266
8,-0.53515625,-0.53173828125,-0.5283203125,0.0029256343841552734
9,-0.53173828125,-0.530029296875,-0.5283203125,0.0012166500091552734
10,-0.530029296875,-0.5291748046875,-0.5283203125,0.00036215782165527344
11,-0.5291748046875,-0.52874755859375,-0.5283203125,6.508827209472656e-05
12,-0.5291748046875,-0.528961181640625,-0.52874755859375,0.00014853477478027344
13,-0.528961181640625,-0.5288543701171875,-0.52874755859375,4.172325134277344e-05
14,-0.5288543701171875,-0.5288009643554688,-0.52874755859375,1.1682510375976562e-05
15,-0.5288543701171875,-0.5288276672363281,-0.5288009643554688,1.5020370483398438e-05
16,-0.5288276672363281,-0.5288143157958984,-0.5288009643554688,1.6689300537109375e-06
17,-0.5288143157958984,-0.5288076400756836,-0.5288009643554688,5.0067901611328125e-06
18,-0.5288143157958984,-0.528810977935791,-0.5288076400756836,1.6689300537109375e-06
19,-0.5288143157958984,-0.5288126468658447,-0.528810977935791,0.0
