Iterations,a,c,b,F-Error
1,0.4,0.7,1.0,0.0735935211181642
2,0.7,0.85,1.0,0.07640647888183583
3,0.7,0.7749999999999999,0.85,0.0014064788818357599
4,0.7,0.7374999999999999,0.7749999999999999,0.03609352111816422
5,0.7374999999999999,0.7562499999999999,0.7749999999999999,0.017343521118164285
6,0.7562499999999999,0.7656249999999999,0.7749999999999999,0.007968521118164262
7,0.7656249999999999,0.7703125,0.7749999999999999,0.0032810211181641957
8,0.7703125,0.7726562499999999,0.7749999999999999,0.0009372711181642179
9,0.7726562499999999,0.7738281249999999,0.7749999999999999,0.00023460388183571546
10,0.7726562499999999,0.7732421875,0.7738281249999999,0.0003513336181641957
11,0.7732421875,0.7735351562499999,0.7738281249999999,5.8364868164240136e-05
12,0.7735351562499999,0.7736816406249999,0.7738281249999999,8.811950683573766e-05
13,0.7735351562499999,0.7736083984375,0.7736816406249999,1.4877319335804273e-05
14,0.7735351562499999,0.7735717773437499,0.7736083984375,2.174377441421793e-05
15,0.7735717773437499,0.773590087890625,0.7736083984375,3.433227539151318e-06
16,0.773590087890625,0.7735992431640625,0.7736083984375,5.722045898326478e-06
17,0.773590087890625,0.7735946655273438,0.7735992431640625,1.144409179643091e-06
18,0.773590087890625,0.7735923767089844,0.7735946655273438,1.1444091797541134e-06
19,0.7735923767089844,0.7735935211181642,0.7735946655273438,0.0
