Iterations,x2,F-Error
1,0.4742611512728038,0.020269178012018274
2,0.4445093618741441,0.00948261138664147
3,0.45837206384289103,0.004380090582105478
4,0.45192714355250324,0.002064829708282312
5,0.45495944244519604,0.0009674691844104855
6,0.453537465832733,0.00045450742805253075
7,0.45420566139127727,0.0002136881304917182
8,0.45389193985258985,0.00010003340819569884
9,0.45403929645050406,4.7323189718506686e-05
10,0.45397009574593933,2.1877514846224688e-05
11,0.4540025963595052,1.0623098719630963e-05
12,0.45398733286840676,4.640392378796321e-06
13,0.45399450131435704,2.528053571482225e-06
14,0.4539911347105064,8.385502791585786e-07
15,0.45399271581641093,7.425556253770615e-07
