Iterations,a,c,b,F-Error
1,1.75,2.265505756405951,2.5,0.09330006352499787
2,1.75,2.188531289089845,2.265505756405951,0.01632559620889218
3,1.75,2.1748301280626823,2.188531289089845,0.002624435181729279
4,1.75,2.172622114088854,2.1748301280626823,0.00041642120790097437
5,1.75,2.1722716310341217,2.172622114088854,6.593815316868756e-05
6,1.75,2.1722161304527106,2.1722716310341217,1.0437571757559994e-05
7,1.75,2.17220734499421,2.1722161304527106,1.6521132568669827e-06
8,1.75,2.1722059543839194,2.17220734499421,2.6150296639215753e-07
9,1.75,2.172205734272615,2.1722059543839194,4.1391662097822746e-08
10,1.75,2.172205699432578,2.172205734272615,6.5516250202790616e-09
11,1.75,2.1722056939179684,2.172205699432578,1.0370153624705836e-09
12,1.75,2.1722056930450955,2.1722056939179684,1.6414247738794074e-10
13,1.75,2.172205692906933,2.1722056930450955,2.5980106954648363e-11
14,1.75,2.172205692885065,2.172205692906933,4.11182199400173e-12
15,1.75,2.1722056928816027,2.172205692885065,6.497025140106416e-13
16,1.75,2.1722056928810565,2.1722056928816027,1.0347278589506459e-13
17,1.75,2.1722056928809703,2.1722056928810565,1.7319479184152442e-14
18,1.75,2.1722056928809566,2.1722056928809703,3.552713678800501e-15
19,1.75,2.172205692880953,2.1722056928809566,0.0
