Iterations,a,c,b,F-Error
1,-1,-0.4257312340233532,-0.125,0.1030821407103828
2,-1,-0.5055768740188472,-0.4257312340233532,0.023236500714888808
3,-1,-0.5237309714546848,-0.5055768740188472,0.005082403279051184
4,-1,-0.5277091538434548,-0.5237309714546848,0.0011042208902811712
5,-1,-0.5285738182875129,-0.5277091538434548,0.00023955644622308814
6,-1,-0.5287614203848505,-0.5285738182875129,5.195434888549677e-05
7,-1,-0.528802107792024,-0.5287614203848505,1.1266941712051448e-05
8,-1,-0.528810931394868,-0.528802107792024,2.4433388680078494e-06
9,-1,-0.5288128448751768,-0.528810931394868,5.298585592505844e-07
10,-1,-0.5288132598295284,-0.5288128448751768,1.1490420759319164e-07
11,-1,-0.5288133498158132,-0.5288132598295284,2.4917922836209527e-08
12,-1,-0.5288133693300765,-0.5288133498158132,5.403659519842563e-09
13,-1,-0.5288133735618975,-0.5288133693300765,1.1718385151127109e-09
14,-1,-0.5288133744796072,-0.5288133735618975,2.5412882909137124e-10
15,-1,-0.528813374678622,-0.5288133744796072,5.511402445534941e-11
16,-1,-0.5288133747217819,-0.528813374678622,1.1954104373046448e-11
17,-1,-0.5288133747311351,-0.5288133747217819,2.6009194797893542e-12
18,-1,-0.5288133747331696,-0.5288133747311351,5.664357871637549e-13
19,-1,-0.5288133747336111,-0.5288133747331696,1.249000902703301e-13
20,-1,-0.5288133747337141,-0.5288133747336111,2.1871393585115584e-14
21,-1,-0.5288133747337308,-0.5288133747337141,5.218048215738236e-15
22,-1,-0.5288133747337342,-0.5288133747337308,1.7763568394002505e-15
23,-1,-0.528813374733736,-0.5288133747337342,0.0
