Iterations,a,c,b,F-Error
1,0.4,0.43215353646405946,1,0.021838674090034482
2,0.43215353646405946,0.4454952315251074,1,0.008496979028986551
3,0.4454952315251074,0.4507014869279332,1,0.0032907236261607298
4,0.4507014869279332,0.4527167010136308,1,0.0012755095404631267
5,0.4527167010136308,0.4534974323591453,1,0.0004947781949486418
6,0.4534974323591453,0.4538002124190904,1,0.0001919981350035349
7,0.4538002124190904,0.45391769448454206,1,7.451606955188872e-05
8,0.45391769448454206,0.45396328848555184,1,2.892206854210322e-05
9,0.45396328848555184,0.45398098470642995,1,1.1225847663998145e-05
10,0.45398098470642995,0.4539878532990313,1,4.357255062648058e-06
11,0.4539878532990313,0.45399051930181694,1,1.6912522770029526e-06
12,0.45399051930181694,0.4539915540999168,1,6.564541771281185e-07
13,0.4539915540999168,0.4539919557533597,1,2.548007342340064e-07
14,0.4539919557533597,0.45399211165392667,1,9.890016727798212e-08
15,0.45399211165392667,0.45399217216627724,1,3.8387816703178146e-08
16,0.45399217216627724,0.45399219565397225,1,1.49001216920297e-08
17,0.45399219565397225,0.453992204770654,1,5.783439949169633e-09
18,0.453992204770654,0.4539922083092681,1,2.2448258252261155e-09
19,0.4539922083092681,0.4539922096827711,1,8.713228472068124e-10
20,0.4539922096827711,0.4539922102158924,1,3.382015223429846e-10
21,0.4539922102158924,0.45399221042282195,1,1.3127199327556127e-10
22,0.45399221042282195,0.45399221050314104,1,5.095290855905432e-11
23,0.45399221050314104,0.45399221053431665,1,1.9777290916067614e-11
24,0.45399221053431665,0.45399221054641736,1,7.676581592619414e-12
25,0.45399221054641736,0.45399221055111433,1,2.979616553488995e-12
26,0.45399221055111433,0.45399221055293737,1,1.1565748359032568e-12
27,0.45399221055293737,0.4539922105536449,1,4.4902970230964456e-13
28,0.4539922105536449,0.45399221055391964,1,1.7430501486614958e-13
29,0.45399221055391964,0.4539922105540262,1,6.772360450213455e-14
30,0.4539922105540262,0.4539922105540675,1,2.6423307986078726e-14
31,0.4539922105540675,0.4539922105540836,1,1.0325074129013956e-14
32,0.4539922105540836,0.4539922105540899,1,4.052314039881821e-15
33,0.4539922105540899,0.45399221055409233,1,1.609823385706477e-15
34,0.45399221055409233,0.45399221055409333,1,6.106226635438361e-16
35,0.45399221055409333,0.45399221055409367,1,2.7755575615628914e-16
36,0.45399221055409367,0.4539922105540937,1,2.220446049250313e-16
37,0.4539922105540937,0.4539922105540938,1,1.6653345369377348e-16
38,0.4539922105540938,0.45399221055409383,1,1.1102230246251565e-16
39,0.45399221055409383,0.45399221055409394,1,0.0
